序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
22,//@共青团中央:补充：图5为虚假消息。据@观察者网 ，现网传中国地震局四川分局公告声称，8月9日陕西甘肃青海等地将被余震波及。此为虚假信息，特此辟谣！ ​​  ¡查看图片,是,【转发扩散，非常时期，不信谣，不传谣！ ​​​​】九寨沟地震发生至现在网络上已经有部分流言发布，请大家不信谣，不传谣，不要让谣言的次生伤害带来更大伤害！ ​​​​@四川日报 ​​​​,2017-08-08 23:50,转发,评论,赞,iPhone,https://weibo.com/2750513404/FgcGV8ZYk
23,转发微博,是,#权威发布# 四川交警权威发布九寨沟地震交通管制：一、因九寨沟县发生地震，对九黄环线实行全线交通管制，只允许政府救援车辆进入灾区，其他社会车辆一律不得进入。二、对G213甘南入川方向、G212陇南入川方向车辆进行劝返。请务必服从现场公安交警的指挥管理。三、对成绵高速、成绵复线高速（成都往 ​​​​...展开全文c,2017-08-08 23:49,转发,评论,1,iPhone,https://weibo.com/2750513404/FgcGllt1O
24,"郑重提示：​有关地震消息均以官方发布为准，请广大网民不要信谣传谣，对于制造谣言、传播谣言，或借地震情况故意扰乱社会稳定,实施网络诈骗者，公安机关将依法严厉惩处。",是,"【阿坝网警】:我州九寨沟县发生7级地震 公安机关将依法严惩网络造谣者       据中国地震台网正式测定，2017年8月8日21时19分,在我州九寨沟县（北纬33.20度，东经103.82度）发生7.0级地震，震源深度20千米。震中距九寨沟县39公里、距松潘县66公里、距舟曲县83公里、距文县85公里、距若尔盖县90公里，距 ​​​​...展开全文c",2017-08-08 23:27,转发,4,2,iPhone,https://weibo.com/2750513404/FgcxseyDu
25,【路况提示】茂县石大关（旧关龙）垮塌路段正在紧张的抢通中，@茂县警方 持续在垮塌路段两端进行交通管制，请过往车辆注意安全行驶。温馨提示：山区行车，注意观察通过；路宽弯多，放慢行驶！ ¡查看图片,是,#茂县发生山体塌方#  【最新消息】G213线阿坝州茂县境内K769+700(石大关旧关龙）塌方处交通部门抢险人员正在抓紧抢通中。@茂县警方 也在现场协调道路交通安全，请大家注意安全。后续小编会及时发布抢险信息。 ​​​​,2017-08-08 17:11,1,12,4,iPhone,https://weibo.com/2750513404/Fga4Hsphv
26,转发微博,是,#茂县发生山体塌方#  【最新消息】G213线阿坝州茂县境内K769 700(石大关旧关龙）塌方处现在五台装载机、两台挖掘机采用双向掘进，四个点，同时开展抢险工作。为了抢险工作的科学和安全，设立了三个观察哨，全方位的对塌方体进行观测。（来源：阿坝州公路管理局）后续抢险工作小编也会及时发布。也请所 ​​​​...展开全文c,2017-08-08 14:46,转发,评论,2,iPhone,https://weibo.com/2750513404/Fg98afSAw
27,@微茂县 @阿坝微博,是,【茂县渭门乡马鞍山垮塌路段已抢通】今日13时30分，茂县渭门乡马鞍山垮塌路段已抢通，双向通行。请过往车辆服从现场交警指挥，安全驾驶！ ​​​​,2017-08-08 13:36,转发,1,1,iPhone,https://weibo.com/2750513404/Fg8FJ1dEJ
28,【茂县渭门乡马鞍山垮塌路段已抢通】今日13时30分，茂县渭门乡马鞍山垮塌路段已抢通，双向通行。请过往车辆服从现场交警指挥，安全驾驶！ ​​​​,否,,2017-08-08 13:36,2,18,3,iPhone,https://weibo.com/2750513404/Fg8FvaDEn
29,垮塌路段正在抢通。,是,#阿坝突发# 茂县渭门乡椒园村窄溪组马鞍山地质灾害隐患点垮塌路段开始抢通。后续小编会及时更新抢通消息。请过往车辆注意安全。@茂县警方 L秒拍视频 ​​​​,2017-08-08 11:52,转发,评论,赞,iPhone,https://weibo.com/2750513404/Fg7Z980Mu
30,转发微博,是,#阿坝突发# 【茂县渭门乡马鞍山发生垮塌】据茂县渭门乡政府报告：2017年8月8日上午10许，茂县渭门乡椒园村窄溪组马鞍山（801+200米）地质灾害隐患点发生垮塌，垮方量约2000方左右，造成国道213线交通阻断。无人员伤亡和车辆受损情况。 ​​​​,2017-08-08 11:43,转发,评论,赞,iPhone,https://weibo.com/2750513404/Fg7VFkIK2
31,【路况提示】8月8日10时许，国道213茂县渭门乡801+200米处发生塌方，造成交通中断，无人员伤亡，目前正在抢通中。现实行交通管制。请过往驾乘人员服从交警指挥，注意安全。@微茂县 ​​​​,否,,2017-08-08 11:27,转发,7,3,iPhone,https://weibo.com/2750513404/Fg7Pn0ZRM
32,正在拓宽抢险作业面，现场仍有零星飞石。,是,#茂县发生山体塌方# 由于塌方路段抢险作业面狭窄，阿坝州公路管理局派出挖掘机拓宽抢险作业平台，保障后续抢险工作。【来源：阿坝州公路管理局】后续抢通消息小编会及时发布。 L秒拍视频 ​​​​,2017-08-08 10:36,2,1,2,iPhone,https://weibo.com/2750513404/Fg7umchaT
33,【实时路况】G213线茂县境内K769 ＋700(石大关旧关龙）处山体高位持续发生塌方，昨晚抢险工作无法开展。目前坍方路段正在降小雨，中断道路暂无法预计恢复通行时间。请过往司机提前做好行程安排，注意安全驾驶。        绕行线路:        1、成都—汶川—茂县—黑水—红原—松潘-九寨沟        2、成都—汶川—理县—红原—松潘-九寨沟        3、成都-绵阳-平武-松潘-九寨沟,否,,2017-08-07 10:16,2,5,2,iPhone,https://weibo.com/2750513404/FfXVLzRra
34,目前塌方路段正在降小雨，已中断交通，暂无法预计恢复通行时间。请过往司机提前做好安排。,是,#茂县发生山体塌方#  【最新消息】G213线阿坝州茂县境内K769 700(石大关旧关龙）处山体高位持续发生坍方，昨晚抢险工作无法开展，目前坍方路段正在降小雨，已中断交通，暂无法预计恢复通行时间。请过往司机提前做好安排。【省应急办 省通管局 省公路局】请车辆注意安全，后续小编会持续关注，有新消息 ​​​​...展开全文c,2017-08-07 10:07,1,评论,赞,iPhone,https://weibo.com/2750513404/FfXSidFoc
35,【实时路况】目前塌方现场车辆已安全疏导劝返，@茂县警方 正在两河口（茂县与黑水县分叉路）和县城36米大道对前往车辆进行疏导分流。请广大驾乘人员提前规划行程路线。       绕行线路:        1、成都—汶川—茂县—黑水—红原—松潘-九寨沟        2、成都—汶川—理县—红原—松潘-九寨沟        3、成都-绵阳-平武-松潘-九寨沟,否,,2017-08-06 19:14,转发,29,2,iPhone,https://weibo.com/2750513404/FfS1X8vUf
36,【路况提示】目前塌方仍在继续。@茂县警方 正在现场劝返车辆，相关部门也在现场开展抢险工作。目前没有车辆、人员伤亡。请前往车辆绕行，注意行车安全！绕行路线：1、成都-茂县-黑水-红原-川主寺-九寨沟；2、成都-汶川-理县-红原-川主寺-九寨沟。 ​​​​,否,,2017-08-06 18:25,3,6,1,iPhone,https://weibo.com/2750513404/FfRI3a9Mb
37,【路况提示】8月6日15时45分，国道213茂县石大关769+600米处（小地名：旧关龙）发生塌方，造成交通中断。现实行交通管制。请过往驾乘人员服从交警指挥，注意安全。前往九寨沟方向的人员可绕行：1、汶川-理县-红原-松潘-九寨沟；2、绵阳-江油-平武-松潘-九寨沟。 ​​​​,否,,2017-08-06 17:47,2,5,3,iPhone,https://weibo.com/2750513404/FfRsp3fhE
38,温馨提示：各位小司机，喝奶不开车，开车不喝奶 ​​​​,是,可爱！幼儿园门口，小朋友专用停车场~（图@妖妖小精、网友）温馨提示：各位小司机，喝奶不开车，开车不喝奶 ​​​​,2017-08-05 23:44,1,2,1,iPhone,https://weibo.com/2750513404/FfKmN7Mbz
39,转发微博,是,【跨境办案！四川公安押解58名电信诈骗犯罪嫌疑人回国】3日，58名电信诈骗犯罪嫌疑人被四川公安从印度尼西亚押解回国。今年6、7月，在公安部的指挥下，我省公安机关远赴印尼，成功捣毁一个在境外窝点拨打电话实施诈骗，境内外人员勾结坐地分赃的犯罪团伙，抓获犯罪嫌疑人68名，缴获作案设备及工具3 ​​​​...展开全文c,2017-08-03 21:21,转发,评论,赞,iPhone,https://weibo.com/2750513404/FfqzUr4bw
40,【今天，接力转发！致敬，中国军人！】谢谢你们的守护！向中国军人致敬！,是,【此刻，转发，向解放军致敬！】视频中，有多位曾经的解放军战士，既有令人肃然起敬的老红军，也有朝气蓬勃的退伍青年学生。18岁到80岁，不同的时代，同样的强军梦！值此#建军90周年#，致敬老前辈！祝福年轻人！传承伟大的中国军人精神！转发，传递~ （@方的说 ）L方的说的秒拍视频 ​​​​,2017-08-01 16:52,转发,评论,赞,iPhone,https://weibo.com/2750513404/Ff5XMdDSv
41,我分享了 @央视新闻 的头条文章 °习近平：人民军队的历史辉煌，是鲜血生命铸就的 ​​​​,否,,2017-08-01 16:51,转发,评论,赞,iPhone,https://weibo.com/2750513404/Ff5Xl4QDH
42,【初心未变 忠心未改】对于当过兵的人，特别是对于公安战线上的退伍军人来说，八一建军节不仅仅是一个节日，更是一个神圣，而又特殊的日子。因为在这个日子里，他们依然能够听到那曾经熟悉的口令与哨声，依然能够看到那训练场上的挥汗如雨……这是曾与战友共同织就的名为“信仰”的青春记忆，任时光如何变迁，不变的永远是这军营的记忆；任青春如何改变，不变的永远是对忠诚的信仰。值此中国人民解放军建军90年之际，向所有的军人，致敬！,否,,2017-08-01 14:31,1,2,1,iPhone,https://weibo.com/2750513404/Ff52kDyAN
43,《大国强军梦》,是,峥嵘岁月，中国人民解放军走过90年光辉历程。“八一建军节”前夕，新华社推出特别节目《大国强军梦》，献给中国人民解放军 L新华网的秒拍视频 ​​​ ​​​​,2017-07-30 12:21,转发,评论,1,iPhone,https://weibo.com/2750513404/FeLkPf48d
